id,company,branch,role,interview_type,difficulty,topic,question,answer
254,NVIDIA,ECE,Hardware Engineer,Technical,Hard,Verilog,Blocking vs non-blocking assignment?,= is blocking; <= is non-blocking.
255,STMicroelectronics,ECE,Embedded Engineer,Technical,Medium,Digital Electronics,What is a flip-flop?,A bistable storage element.
256,Texas Instruments,ECE,Electronics Engineer,Technical,Medium,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
257,Analog Devices,ECE,Embedded Engineer,Technical,Easy,Embedded C,What is UART?,Serial communication protocol.
258,NXP,ECE,Hardware Engineer,Technical,Medium,Digital Electronics,What is a flip-flop?,A bistable storage element.
259,Google,CSE,ML Engineer,HR,Easy,HR,Why should we hire you?,Highlight relevant strengths.
260,IBM,CSE,Backend Engineer,Technical,Hard,OOP,What is polymorphism?,Ability of an object to take many forms.
261,Bosch,ECE,Hardware Engineer,Aptitude,Easy,Aptitude,What is 25% of 200?,50
262,Wipro,CSE,AI Engineer,Technical,Hard,OOP,Explain abstraction.,Hide implementation details and expose essentials.
263,Intel,CSE,Data Engineer,HR,Easy,HR,Tell me about yourself.,"Summarize education, skills and goals."
264,Apple,CSE,Data Engineer,Technical,Easy,SQL,Difference between DELETE and TRUNCATE?,DELETE removes rows; TRUNCATE clears table efficiently.
265,Qualcomm,ECE,VLSI Engineer,Technical,Easy,FPGA,What is FPGA?,Programmable logic device.
266,Google,CSE,Backend Engineer,Technical,Hard,Python,What are decorators?,Functions that modify other functions.
267,STMicroelectronics,ECE,Hardware Engineer,Technical,Hard,Digital Electronics,What is a flip-flop?,A bistable storage element.
268,PhonePe,CSE,AI Engineer,Technical,Medium,System Design,What is load balancing?,Distributes traffic across servers.
269,Capgemini,CSE,Backend Engineer,Technical,Hard,OOP,What is polymorphism?,Ability of an object to take many forms.
270,Capgemini,CSE,ML Engineer,Technical,Easy,Node.js,What is npm?,Node package manager.
271,NVIDIA,ECE,VLSI Engineer,Technical,Medium,Signals,What is Fourier Transform?,Converts time to frequency domain.
272,IBM,CSE,Backend Engineer,Technical,Hard,OOP,What is polymorphism?,Ability of an object to take many forms.
273,Infineon,ECE,FPGA Engineer,Technical,Easy,Digital Electronics,What is a flip-flop?,A bistable storage element.
274,Capgemini,CSE,Data Engineer,Aptitude,Easy,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
275,Texas Instruments,ECE,VLSI Engineer,HR,Hard,HR,Tell me about yourself.,"Summarize education, skills and goals."
276,Qualcomm,ECE,Hardware Engineer,Technical,Medium,Communication Systems,What is modulation?,Encode information onto carrier.
277,Intel,CSE,ML Engineer,HR,Medium,HR,Tell me about yourself.,"Summarize education, skills and goals."
278,Bosch,ECE,VLSI Engineer,Technical,Medium,VLSI,What is CMOS?,Complementary MOS technology.
279,Analog Devices,ECE,Embedded Engineer,Technical,Hard,Embedded C,volatile keyword?,Prevents compiler optimization.
280,Infosys,CSE,Data Engineer,Technical,Easy,React,What are React hooks?,Functions for state and lifecycle in functional components.
281,Cisco,ECE,Embedded Engineer,Technical,Easy,Verilog,Blocking vs non-blocking assignment?,= is blocking; <= is non-blocking.
282,Intel,ECE,FPGA Engineer,Technical,Hard,Digital Electronics,Difference between latch and flip-flop?,Latch is level-triggered; flip-flop is edge-triggered.
283,Flipkart,CSE,Frontend Engineer,Technical,Medium,Deep Learning,What is gradient descent?,Optimization algorithm.
284,PhonePe,CSE,Software Engineer,Technical,Medium,Java,What is JVM?,Java Virtual Machine.
285,Oracle,CSE,AI Engineer,Technical,Medium,Operating Systems,Difference between process and thread?,Processes have separate memory; threads share memory.
286,Intel,CSE,AI Engineer,Technical,Hard,Operating Systems,Difference between process and thread?,Processes have separate memory; threads share memory.
287,Cisco,ECE,Electronics Engineer,Technical,Easy,Communication Systems,AM vs FM?,Amplitude vs frequency modulation.
288,Infosys,CSE,Software Engineer,Technical,Medium,DBMS,What is a primary key?,A unique identifier for a row.
289,Analog Devices,ECE,Embedded Engineer,Technical,Medium,Embedded C,What is UART?,Serial communication protocol.
290,Infosys,CSE,Backend Engineer,HR,Medium,HR,Tell me about yourself.,"Summarize education, skills and goals."
291,Intel,CSE,AI Engineer,Technical,Hard,Machine Learning,What is overfitting?,Model memorizes training data.
292,Texas Instruments,ECE,FPGA Engineer,Technical,Medium,Microcontrollers,What is an interrupt?,Interrupts normal execution to handle an event.
293,Qualcomm,ECE,FPGA Engineer,Technical,Hard,VHDL,What is an entity?,Defines module interface.
294,Intel,ECE,FPGA Engineer,Technical,Easy,Digital Electronics,What is a flip-flop?,A bistable storage element.
295,Cisco,CSE,Data Engineer,Aptitude,Easy,Aptitude,What is 25% of 200?,50
296,NXP,ECE,Embedded Engineer,Technical,Medium,Signals,What is Fourier Transform?,Converts time to frequency domain.
297,Cisco,ECE,Hardware Engineer,Technical,Easy,Microcontrollers,What is an interrupt?,Interrupts normal execution to handle an event.
298,Amazon,CSE,Backend Engineer,Technical,Medium,OOP,Explain abstraction.,Hide implementation details and expose essentials.
299,Capgemini,CSE,Software Engineer,Technical,Medium,Machine Learning,Bias vs variance?,Tradeoff between underfitting and overfitting.
300,Google,CSE,Software Engineer,Technical,Hard,Node.js,What is npm?,Node package manager.
301,Analog Devices,ECE,Hardware Engineer,Technical,Medium,FPGA,What is FPGA?,Programmable logic device.
302,Capgemini,CSE,Frontend Engineer,Technical,Easy,React,What are React hooks?,Functions for state and lifecycle in functional components.
303,Capgemini,CSE,ML Engineer,Aptitude,Medium,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
304,Google,CSE,AI Engineer,Technical,Medium,Computer Networks,What is DNS?,Translates domain names to IP addresses.
305,STMicroelectronics,ECE,VLSI Engineer,Technical,Medium,Communication Systems,AM vs FM?,Amplitude vs frequency modulation.
306,NVIDIA,ECE,Electronics Engineer,Technical,Medium,Embedded C,volatile keyword?,Prevents compiler optimization.
307,Flipkart,CSE,AI Engineer,Technical,Hard,Operating Systems,What is deadlock?,Processes wait indefinitely for resources.
308,Qualcomm,ECE,FPGA Engineer,Technical,Hard,FPGA,Why use FPGA?,Rapid prototyping and parallelism.
309,Capgemini,CSE,Data Engineer,Technical,Medium,React,What is JSX?,JavaScript XML syntax.
310,Flipkart,CSE,Frontend Engineer,Technical,Easy,Java,What is JVM?,Java Virtual Machine.
311,IBM,CSE,Frontend Engineer,Technical,Hard,Computer Networks,Explain TCP handshake.,"SYN, SYN-ACK, ACK."
312,Amazon,CSE,Backend Engineer,Technical,Medium,Java,What is JVM?,Java Virtual Machine.
313,NVIDIA,ECE,Hardware Engineer,Technical,Hard,Communication Systems,What is modulation?,Encode information onto carrier.
314,Capgemini,CSE,Frontend Engineer,Technical,Medium,Deep Learning,What is gradient descent?,Optimization algorithm.
315,Bosch,ECE,FPGA Engineer,Technical,Hard,Microcontrollers,What is an interrupt?,Interrupts normal execution to handle an event.
316,Texas Instruments,ECE,Electronics Engineer,Technical,Hard,Analog Electronics,What is feedback?,Feeds output back to input.
317,Infineon,ECE,VLSI Engineer,Aptitude,Easy,Aptitude,What is 25% of 200?,50
318,Cisco,ECE,Embedded Engineer,Technical,Hard,VLSI,Setup vs hold time?,Timing constraints.
319,Intel,CSE,Data Engineer,Technical,Hard,Node.js,What is npm?,Node package manager.
320,Analog Devices,ECE,Embedded Engineer,Technical,Medium,VLSI,Setup vs hold time?,Timing constraints.
321,Cognizant,CSE,AI Engineer,HR,Medium,HR,Tell me about yourself.,"Summarize education, skills and goals."
322,Texas Instruments,ECE,Hardware Engineer,Technical,Hard,Microcontrollers,Difference between MCU and MPU?,MCU integrates CPU and peripherals.
323,Analog Devices,ECE,Embedded Engineer,Technical,Hard,DSP,What is aliasing?,High frequencies appear lower due to undersampling.
324,Infineon,ECE,FPGA Engineer,Technical,Easy,Communication Systems,AM vs FM?,Amplitude vs frequency modulation.
325,Accenture,CSE,Data Engineer,Coding,Easy,DSA,Reverse a linked list.,Iteratively or recursively reverse pointers.
326,Texas Instruments,ECE,Embedded Engineer,Technical,Medium,Communication Systems,What is modulation?,Encode information onto carrier.
327,Siemens,ECE,VLSI Engineer,Technical,Easy,Analog Electronics,What is feedback?,Feeds output back to input.
328,Bosch,ECE,Hardware Engineer,Technical,Hard,VHDL,What is architecture?,Defines implementation.
329,Accenture,CSE,AI Engineer,Technical,Easy,DBMS,What is normalization?,Reduces redundancy in databases.
330,HCL,CSE,Backend Engineer,Technical,Medium,OOP,Explain abstraction.,Hide implementation details and expose essentials.
331,Microsoft,CSE,Software Engineer,Coding,Easy,DSA,Explain binary search.,Searches a sorted array in O(log n).
332,NVIDIA,ECE,Electronics Engineer,Technical,Easy,Digital Electronics,What is a flip-flop?,A bistable storage element.
333,Siemens,ECE,VLSI Engineer,Technical,Medium,Analog Electronics,What is feedback?,Feeds output back to input.
334,Adobe,CSE,Data Engineer,Technical,Easy,Operating Systems,What is deadlock?,Processes wait indefinitely for resources.
335,Samsung,ECE,FPGA Engineer,Technical,Easy,Signals,What is Fourier Transform?,Converts time to frequency domain.
336,Texas Instruments,ECE,FPGA Engineer,Technical,Hard,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
337,Accenture,CSE,Software Engineer,Technical,Medium,Python,What are decorators?,Functions that modify other functions.
338,IBM,CSE,Backend Engineer,Technical,Easy,DBMS,What is a primary key?,A unique identifier for a row.
339,Intel,ECE,Electronics Engineer,Technical,Easy,Signals,What is Fourier Transform?,Converts time to frequency domain.
340,IBM,CSE,Frontend Engineer,Technical,Easy,Java,Explain method overloading.,Same method name with different parameters.
341,Apple,CSE,AI Engineer,Technical,Easy,OOP,Explain abstraction.,Hide implementation details and expose essentials.
342,PhonePe,CSE,Software Engineer,Technical,Easy,Node.js,What is Express?,A Node.js web framework.
343,Google,CSE,ML Engineer,Technical,Easy,DBMS,What is a primary key?,A unique identifier for a row.
344,Texas Instruments,ECE,Hardware Engineer,Technical,Medium,FPGA,What is FPGA?,Programmable logic device.
345,Flipkart,CSE,AI Engineer,Technical,Hard,React,What are React hooks?,Functions for state and lifecycle in functional components.
346,HCL,CSE,Software Engineer,Technical,Hard,Operating Systems,What is deadlock?,Processes wait indefinitely for resources.
347,Intel,ECE,Electronics Engineer,Technical,Hard,VHDL,What is an entity?,Defines module interface.
348,Wipro,CSE,Backend Engineer,Technical,Easy,Node.js,What is npm?,Node package manager.
349,Amazon,CSE,Backend Engineer,Technical,Medium,Python,Difference between list and tuple?,Lists are mutable; tuples are immutable.
350,Cognizant,CSE,Software Engineer,Technical,Medium,SQL,Difference between DELETE and TRUNCATE?,DELETE removes rows; TRUNCATE clears table efficiently.
351,Microsoft,CSE,ML Engineer,Technical,Easy,DBMS,What is normalization?,Reduces redundancy in databases.
352,NVIDIA,CSE,Software Engineer,Technical,Easy,OOP,What is polymorphism?,Ability of an object to take many forms.
353,Wipro,CSE,Backend Engineer,Technical,Easy,Computer Networks,Explain TCP handshake.,"SYN, SYN-ACK, ACK."
354,Bosch,ECE,VLSI Engineer,Technical,Easy,Verilog,Blocking vs non-blocking assignment?,= is blocking; <= is non-blocking.
355,Analog Devices,ECE,Electronics Engineer,Technical,Hard,DSP,What is aliasing?,High frequencies appear lower due to undersampling.
356,NVIDIA,ECE,Hardware Engineer,Technical,Medium,Verilog,What is an always block?,Defines procedural logic.
357,Microsoft,CSE,ML Engineer,Technical,Easy,Node.js,What is npm?,Node package manager.
358,Bosch,ECE,Hardware Engineer,Technical,Easy,VHDL,What is architecture?,Defines implementation.
359,Amazon,CSE,AI Engineer,Technical,Hard,JavaScript,Difference between let and var?,let is block scoped; var is function scoped.
360,Intel,ECE,Electronics Engineer,HR,Hard,HR,Tell me about yourself.,"Summarize education, skills and goals."
361,Texas Instruments,ECE,VLSI Engineer,Technical,Medium,Microcontrollers,What is an interrupt?,Interrupts normal execution to handle an event.
362,HCL,CSE,ML Engineer,Coding,Hard,DSA,What is a stack?,A LIFO data structure.
363,Bosch,ECE,Embedded Engineer,Technical,Medium,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
364,NXP,ECE,Embedded Engineer,Technical,Medium,Microcontrollers,What is an interrupt?,Interrupts normal execution to handle an event.
365,NXP,ECE,Embedded Engineer,Technical,Hard,Embedded C,volatile keyword?,Prevents compiler optimization.
366,Cognizant,CSE,AI Engineer,Technical,Medium,Machine Learning,What is overfitting?,Model memorizes training data.
367,NXP,ECE,Electronics Engineer,Technical,Hard,VHDL,What is an entity?,Defines module interface.
368,Intel,CSE,Data Engineer,Technical,Medium,React,What are React hooks?,Functions for state and lifecycle in functional components.
369,Google,CSE,AI Engineer,Technical,Medium,System Design,What is load balancing?,Distributes traffic across servers.
370,Qualcomm,ECE,Embedded Engineer,Technical,Hard,Microcontrollers,Difference between MCU and MPU?,MCU integrates CPU and peripherals.
371,Paytm,CSE,Software Engineer,Technical,Medium,Operating Systems,What is deadlock?,Processes wait indefinitely for resources.
372,NXP,ECE,Hardware Engineer,Aptitude,Medium,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
373,Samsung,ECE,Electronics Engineer,Technical,Medium,Analog Electronics,What is feedback?,Feeds output back to input.
374,TCS,CSE,Backend Engineer,Technical,Medium,DBMS,What is a primary key?,A unique identifier for a row.
375,Analog Devices,ECE,VLSI Engineer,Technical,Hard,Verilog,Blocking vs non-blocking assignment?,= is blocking; <= is non-blocking.
376,Adobe,CSE,Backend Engineer,Coding,Hard,DSA,What is a stack?,A LIFO data structure.
377,IBM,CSE,Software Engineer,Technical,Hard,DBMS,What is normalization?,Reduces redundancy in databases.
378,Adobe,CSE,AI Engineer,Technical,Hard,Computer Networks,What is DNS?,Translates domain names to IP addresses.
379,Apple,CSE,Software Engineer,Technical,Medium,React,What is JSX?,JavaScript XML syntax.
380,NXP,ECE,Embedded Engineer,Technical,Easy,Signals,What is Fourier Transform?,Converts time to frequency domain.
381,Accenture,CSE,AI Engineer,Coding,Easy,DSA,What is a stack?,A LIFO data structure.
382,Infineon,ECE,Electronics Engineer,Technical,Medium,FPGA,What is FPGA?,Programmable logic device.
383,Capgemini,CSE,ML Engineer,HR,Easy,HR,Tell me about yourself.,"Summarize education, skills and goals."
384,Google,CSE,Software Engineer,HR,Hard,HR,Why should we hire you?,Highlight relevant strengths.
385,Infosys,CSE,Backend Engineer,Coding,Medium,DSA,What is a stack?,A LIFO data structure.
386,Amazon,CSE,Software Engineer,Technical,Hard,Machine Learning,Bias vs variance?,Tradeoff between underfitting and overfitting.
387,HCL,CSE,AI Engineer,Technical,Hard,JavaScript,What is closure?,Function with preserved lexical scope.
388,IBM,CSE,AI Engineer,Technical,Hard,Operating Systems,Difference between process and thread?,Processes have separate memory; threads share memory.
389,Accenture,CSE,AI Engineer,Technical,Hard,System Design,What is load balancing?,Distributes traffic across servers.
390,Apple,CSE,ML Engineer,Technical,Hard,Computer Networks,Explain TCP handshake.,"SYN, SYN-ACK, ACK."
391,Paytm,CSE,Frontend Engineer,Technical,Easy,Python,Difference between list and tuple?,Lists are mutable; tuples are immutable.
392,Flipkart,CSE,AI Engineer,Technical,Medium,Python,What are decorators?,Functions that modify other functions.
393,Bosch,ECE,Embedded Engineer,Technical,Hard,Communication Systems,AM vs FM?,Amplitude vs frequency modulation.
394,Samsung,ECE,Hardware Engineer,Technical,Medium,Analog Electronics,What is an op-amp?,High-gain differential amplifier.
395,Amazon,CSE,Backend Engineer,HR,Easy,HR,Tell me about yourself.,"Summarize education, skills and goals."
396,Oracle,CSE,Data Engineer,Aptitude,Easy,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
397,Flipkart,CSE,Backend Engineer,Aptitude,Easy,Aptitude,What is 25% of 200?,50
398,Qualcomm,ECE,VLSI Engineer,Technical,Hard,FPGA,What is FPGA?,Programmable logic device.
399,Intel,CSE,Backend Engineer,Technical,Easy,OOP,Explain abstraction.,Hide implementation details and expose essentials.
400,Paytm,CSE,ML Engineer,Technical,Easy,Java,What is JVM?,Java Virtual Machine.
401,Analog Devices,ECE,Electronics Engineer,Aptitude,Hard,Aptitude,What is 25% of 200?,50
402,Texas Instruments,ECE,VLSI Engineer,Technical,Easy,VHDL,What is an entity?,Defines module interface.
403,TCS,CSE,ML Engineer,Technical,Hard,React,What is JSX?,JavaScript XML syntax.
404,NXP,ECE,Electronics Engineer,Technical,Easy,Microcontrollers,What is an interrupt?,Interrupts normal execution to handle an event.
405,Accenture,CSE,Software Engineer,Technical,Easy,System Design,What is load balancing?,Distributes traffic across servers.
406,NVIDIA,ECE,VLSI Engineer,Technical,Easy,Signals,What is Fourier Transform?,Converts time to frequency domain.
407,Apple,CSE,ML Engineer,Technical,Medium,System Design,What is caching?,Stores frequently accessed data.
408,Flipkart,CSE,Backend Engineer,Aptitude,Easy,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
409,Intel,CSE,AI Engineer,Technical,Easy,Python,What are decorators?,Functions that modify other functions.
410,NXP,ECE,Electronics Engineer,Technical,Medium,Analog Electronics,What is feedback?,Feeds output back to input.
411,Qualcomm,ECE,Electronics Engineer,Technical,Easy,Communication Systems,What is modulation?,Encode information onto carrier.
412,IBM,CSE,ML Engineer,Technical,Hard,OOP,What is polymorphism?,Ability of an object to take many forms.
413,Infineon,ECE,Embedded Engineer,Technical,Hard,DSP,What is aliasing?,High frequencies appear lower due to undersampling.
414,Qualcomm,ECE,Electronics Engineer,Aptitude,Easy,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
415,Qualcomm,ECE,Hardware Engineer,Technical,Medium,DSP,What is sampling theorem?,Sample at least twice highest frequency.
416,TCS,CSE,AI Engineer,Technical,Easy,JavaScript,What is closure?,Function with preserved lexical scope.
417,Intel,ECE,Hardware Engineer,Technical,Medium,DSP,What is sampling theorem?,Sample at least twice highest frequency.
418,Bosch,ECE,Embedded Engineer,Technical,Easy,FPGA,What is FPGA?,Programmable logic device.
419,Intel,CSE,Data Engineer,Technical,Hard,JavaScript,What is closure?,Function with preserved lexical scope.
420,Samsung,ECE,Electronics Engineer,Technical,Hard,Analog Electronics,What is feedback?,Feeds output back to input.
421,NXP,ECE,Hardware Engineer,Technical,Medium,Embedded C,volatile keyword?,Prevents compiler optimization.
422,Cisco,CSE,Backend Engineer,Technical,Medium,System Design,What is caching?,Stores frequently accessed data.
423,Bosch,ECE,Embedded Engineer,Technical,Hard,VLSI,What is CMOS?,Complementary MOS technology.
424,IBM,CSE,Backend Engineer,HR,Easy,HR,Why should we hire you?,Highlight relevant strengths.
425,Infosys,CSE,Data Engineer,Technical,Hard,Node.js,What is npm?,Node package manager.
426,Infineon,ECE,VLSI Engineer,Technical,Hard,VLSI,Setup vs hold time?,Timing constraints.
427,Texas Instruments,ECE,FPGA Engineer,Technical,Medium,Embedded C,What is UART?,Serial communication protocol.
428,Cisco,ECE,Embedded Engineer,HR,Hard,HR,Why should we hire you?,Highlight relevant strengths.
429,Oracle,CSE,Backend Engineer,Coding,Hard,DSA,Reverse a linked list.,Iteratively or recursively reverse pointers.
430,Bosch,ECE,VLSI Engineer,Technical,Hard,FPGA,What is FPGA?,Programmable logic device.
431,IBM,CSE,AI Engineer,Technical,Easy,Node.js,What is npm?,Node package manager.
432,Capgemini,CSE,Backend Engineer,Technical,Medium,Computer Networks,What is DNS?,Translates domain names to IP addresses.
433,Google,CSE,Software Engineer,Technical,Hard,SQL,Difference between DELETE and TRUNCATE?,DELETE removes rows; TRUNCATE clears table efficiently.
434,Bosch,ECE,Hardware Engineer,HR,Easy,HR,Tell me about yourself.,"Summarize education, skills and goals."
435,Qualcomm,ECE,Electronics Engineer,Technical,Medium,Analog Electronics,What is feedback?,Feeds output back to input.
436,Microsoft,CSE,Backend Engineer,Technical,Easy,Deep Learning,What is CNN?,Convolutional Neural Network.
437,Cisco,CSE,Frontend Engineer,Technical,Medium,SQL,What is JOIN?,Combines rows from multiple tables.
438,Google,CSE,Backend Engineer,Technical,Hard,Deep Learning,What is gradient descent?,Optimization algorithm.
439,NVIDIA,ECE,Hardware Engineer,Technical,Medium,Communication Systems,What is modulation?,Encode information onto carrier.
440,Wipro,CSE,ML Engineer,Technical,Easy,Java,What is JVM?,Java Virtual Machine.
441,Wipro,CSE,ML Engineer,Technical,Medium,JavaScript,Difference between let and var?,let is block scoped; var is function scoped.
442,STMicroelectronics,ECE,Embedded Engineer,HR,Medium,HR,Tell me about yourself.,"Summarize education, skills and goals."
443,TCS,CSE,Backend Engineer,Technical,Easy,JavaScript,What is closure?,Function with preserved lexical scope.
444,Intel,ECE,FPGA Engineer,HR,Medium,HR,Why should we hire you?,Highlight relevant strengths.
445,Paytm,CSE,ML Engineer,Technical,Hard,Node.js,What is npm?,Node package manager.
446,Adobe,CSE,Data Engineer,Technical,Hard,Java,Explain method overloading.,Same method name with different parameters.
447,Intel,ECE,FPGA Engineer,Technical,Medium,FPGA,What is FPGA?,Programmable logic device.
448,TCS,CSE,ML Engineer,Technical,Medium,JavaScript,What is closure?,Function with preserved lexical scope.
449,Infineon,ECE,FPGA Engineer,Technical,Medium,Digital Electronics,Difference between latch and flip-flop?,Latch is level-triggered; flip-flop is edge-triggered.
450,STMicroelectronics,ECE,Electronics Engineer,Technical,Hard,FPGA,Why use FPGA?,Rapid prototyping and parallelism.
451,Flipkart,CSE,Software Engineer,HR,Medium,HR,Why should we hire you?,Highlight relevant strengths.
452,NVIDIA,CSE,Software Engineer,Technical,Easy,OOP,What is polymorphism?,Ability of an object to take many forms.
453,Cisco,ECE,Embedded Engineer,Technical,Medium,VHDL,What is architecture?,Defines implementation.
454,HCL,CSE,AI Engineer,Technical,Easy,JavaScript,Difference between let and var?,let is block scoped; var is function scoped.
455,Cisco,CSE,Frontend Engineer,Technical,Easy,Java,What is JVM?,Java Virtual Machine.
456,Cisco,ECE,Hardware Engineer,Technical,Easy,DSP,What is sampling theorem?,Sample at least twice highest frequency.
457,Analog Devices,ECE,Embedded Engineer,Technical,Hard,Digital Electronics,What is a flip-flop?,A bistable storage element.
458,Samsung,ECE,VLSI Engineer,Technical,Hard,VLSI,Setup vs hold time?,Timing constraints.
459,Infineon,ECE,VLSI Engineer,Technical,Hard,FPGA,What is FPGA?,Programmable logic device.
460,Cisco,ECE,Electronics Engineer,Technical,Easy,Communication Systems,What is modulation?,Encode information onto carrier.
461,Analog Devices,ECE,FPGA Engineer,Technical,Medium,Microcontrollers,Difference between MCU and MPU?,MCU integrates CPU and peripherals.
462,Wipro,CSE,Data Engineer,Technical,Hard,SQL,What is JOIN?,Combines rows from multiple tables.
463,Oracle,CSE,Backend Engineer,Technical,Medium,OOP,Explain abstraction.,Hide implementation details and expose essentials.
464,NVIDIA,CSE,ML Engineer,Technical,Medium,Operating Systems,Difference between process and thread?,Processes have separate memory; threads share memory.
465,STMicroelectronics,ECE,FPGA Engineer,Technical,Easy,Signals,What is Fourier Transform?,Converts time to frequency domain.
466,Samsung,ECE,Electronics Engineer,Technical,Easy,VLSI,Setup vs hold time?,Timing constraints.
467,Siemens,ECE,FPGA Engineer,Technical,Easy,VLSI,What is CMOS?,Complementary MOS technology.
468,Oracle,CSE,Software Engineer,Technical,Easy,Operating Systems,What is deadlock?,Processes wait indefinitely for resources.
469,Cisco,ECE,VLSI Engineer,Technical,Medium,Signals,What is Fourier Transform?,Converts time to frequency domain.
470,Samsung,ECE,Electronics Engineer,Technical,Easy,Verilog,What is an always block?,Defines procedural logic.
471,IBM,CSE,Backend Engineer,Aptitude,Medium,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
472,Oracle,CSE,Frontend Engineer,Technical,Easy,System Design,What is load balancing?,Distributes traffic across servers.
473,Cisco,CSE,Backend Engineer,Technical,Easy,React,What are React hooks?,Functions for state and lifecycle in functional components.
474,Intel,ECE,FPGA Engineer,Technical,Hard,Digital Electronics,What is a flip-flop?,A bistable storage element.
475,Google,CSE,Data Engineer,Technical,Hard,OOP,What is polymorphism?,Ability of an object to take many forms.
476,Bosch,ECE,Hardware Engineer,Technical,Hard,Microcontrollers,Difference between MCU and MPU?,MCU integrates CPU and peripherals.
477,HCL,CSE,AI Engineer,Technical,Medium,Computer Networks,What is DNS?,Translates domain names to IP addresses.
478,Cisco,ECE,Electronics Engineer,Technical,Medium,Digital Electronics,Difference between latch and flip-flop?,Latch is level-triggered; flip-flop is edge-triggered.
479,Amazon,CSE,AI Engineer,Technical,Easy,OOP,What is polymorphism?,Ability of an object to take many forms.
480,Samsung,ECE,FPGA Engineer,Technical,Hard,Microcontrollers,What is an interrupt?,Interrupts normal execution to handle an event.
481,NVIDIA,ECE,Electronics Engineer,Technical,Easy,Communication Systems,What is modulation?,Encode information onto carrier.
482,TCS,CSE,Data Engineer,Coding,Medium,DSA,Reverse a linked list.,Iteratively or recursively reverse pointers.
483,STMicroelectronics,ECE,VLSI Engineer,Technical,Medium,Signals,Energy vs power signal?,Classification by energy/power.
484,Qualcomm,ECE,Electronics Engineer,Technical,Medium,FPGA,What is FPGA?,Programmable logic device.
485,Apple,CSE,AI Engineer,Technical,Easy,OOP,What is polymorphism?,Ability of an object to take many forms.
486,Texas Instruments,ECE,Hardware Engineer,Technical,Medium,Verilog,What is an always block?,Defines procedural logic.
487,Infosys,CSE,ML Engineer,Technical,Easy,JavaScript,Difference between let and var?,let is block scoped; var is function scoped.
488,Flipkart,CSE,AI Engineer,Technical,Easy,Operating Systems,What is deadlock?,Processes wait indefinitely for resources.
489,NVIDIA,ECE,VLSI Engineer,Technical,Easy,Verilog,Blocking vs non-blocking assignment?,= is blocking; <= is non-blocking.
490,Analog Devices,ECE,VLSI Engineer,Technical,Hard,Digital Electronics,What is a flip-flop?,A bistable storage element.
491,NVIDIA,CSE,Frontend Engineer,Technical,Hard,Node.js,What is Express?,A Node.js web framework.
492,Intel,CSE,Backend Engineer,Technical,Hard,JavaScript,What is closure?,Function with preserved lexical scope.
493,Capgemini,CSE,AI Engineer,Technical,Medium,SQL,Difference between DELETE and TRUNCATE?,DELETE removes rows; TRUNCATE clears table efficiently.
494,TCS,CSE,Data Engineer,Technical,Hard,Computer Networks,Explain TCP handshake.,"SYN, SYN-ACK, ACK."
495,Analog Devices,ECE,Electronics Engineer,Technical,Medium,Verilog,What is an always block?,Defines procedural logic.
496,NXP,ECE,VLSI Engineer,Technical,Medium,Embedded C,What is UART?,Serial communication protocol.
497,Analog Devices,ECE,Electronics Engineer,Technical,Medium,Digital Electronics,What is a flip-flop?,A bistable storage element.
498,Siemens,ECE,Hardware Engineer,Technical,Easy,Verilog,Blocking vs non-blocking assignment?,= is blocking; <= is non-blocking.
499,Capgemini,CSE,Data Engineer,Technical,Medium,React,What is JSX?,JavaScript XML syntax.
500,HCL,CSE,Backend Engineer,Technical,Medium,Java,Explain method overloading.,Same method name with different parameters.
501,NVIDIA,ECE,Electronics Engineer,Technical,Easy,Microcontrollers,What is an interrupt?,Interrupts normal execution to handle an event.
502,Bosch,ECE,Hardware Engineer,Technical,Easy,VLSI,What is CMOS?,Complementary MOS technology.
503,Cisco,ECE,Electronics Engineer,Technical,Medium,VLSI,What is CMOS?,Complementary MOS technology.
504,Flipkart,CSE,Backend Engineer,Technical,Hard,DBMS,What is normalization?,Reduces redundancy in databases.
505,Accenture,CSE,Software Engineer,Aptitude,Medium,Aptitude,A train travels 120 km in 2 hours. Speed?,60 km/h
506,Siemens,ECE,Hardware Engineer,Technical,Easy,VHDL,What is an entity?,Defines module interface.
507,Apple,CSE,Software Engineer,Technical,Medium,System Design,What is load balancing?,Distributes traffic across servers.
508,NVIDIA,ECE,FPGA Engineer,Technical,Medium,FPGA,Why use FPGA?,Rapid prototyping and parallelism.
509,Cisco,CSE,Data Engineer,Technical,Hard,DBMS,What is a primary key?,A unique identifier for a row.
510,Cognizant,CSE,ML Engineer,Technical,Easy,JavaScript,Difference between let and var?,let is block scoped; var is function scoped.
