Company,Role,Job Type,Eligible Branches,Minimum CGPA,Location,CTC (LPA),Stipend (Monthly INR),Required Skills,Selection Process
EPAM,Business Analyst,FTE,B.E. All Branches,6.5,Chennai,32.15,50000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
SAP,AI/ML Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",9.0,Chennai,45.65,70000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Capgemini,DevOps Engineer,Intern+Performance Based Chance of FTE,"COE,COPC",7.0,Remote,11.73,50000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Morgan Stanley,Frontend Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,7.5,Noida,11.23,60000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Walmart Global Tech,AI/ML Engineer,Intern+FTE,"COE,COPC,ECE",7.5,Remote,56.42,70000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Wipro,Data Scientist,Intern+Performance Based Chance of FTE,B.E. All Branches,7.5,Noida,32.86,30000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
American Express,Cybersecurity Analyst,FTE,"COE,COPC,COBS",8.0,Remote,25.06,25000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
PhonePe,DevOps Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",7.0,Chennai,6.44,30000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Tech Mahindra,Business Analyst,Intern,B.E. All Branches,8.0,Noida,25.76,80000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Accenture,DevOps Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,7.0,Hyderabad,21.58,80000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Uber,Backend Engineer,FTE,"COE,COPC,ECE",6.5,Mumbai,76.67,70000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Capgemini,Software Development Engineer,FTE,"COE,COPC,COBS",8.0,Remote,8.45,40000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Flipkart,Cybersecurity Analyst,FTE,B.E. All Branches,7.0,Pune,54.23,40000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
ZS Associates,Cybersecurity Analyst,FTE,B.E. All Branches,9.0,Remote,45.92,60000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
SAP,Cybersecurity Analyst,FTE,"COE,COPC,ECE,ENC",8.5,Hyderabad,22.19,25000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Optum,Cybersecurity Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",8.5,Noida,22.61,25000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Dell,Software Development Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",9.0,Noida,37.51,40000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Amazon,Cybersecurity Analyst,Intern+FTE,"COE,COPC",7.5,Chennai,57.2,30000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Optum,Frontend Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,9.0,Remote,28.3,50000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
HCLTech,Embedded Engineer,Intern+FTE,B.E. All Branches,7.0,Remote,9.36,40000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Cognizant,Business Analyst,Intern+Performance Based Chance of FTE,B.E. All Branches,7.0,Chennai,22.94,40000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Siemens,Embedded Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",6.5,Gurugram,42.76,60000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Samsung R&D,Data Scientist,FTE,"COE,COPC,ECE,EIC,EEC",6.5,Remote,18.14,60000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Swiggy,Cloud Engineer,FTE,"COE,COPC",8.0,Mumbai,24.84,60000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
ZS Associates,AI/ML Engineer,FTE,"COE,COPC",7.0,Hyderabad,57.55,40000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
IBM,Cloud Engineer,Intern+FTE,"COE,COPC,ECE",9.0,Gurugram,41.42,100000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Samsung R&D,Embedded Engineer,Intern+FTE,"COE,COPC,ECE",6.0,Noida,20.67,30000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Cisco,Full Stack Developer,FTE,"COE,COPC,ECE,EIC,EEC",7.5,Hyderabad,8.83,80000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Siemens,Frontend Engineer,Intern+FTE,"COE,COPC,COBS",8.5,Remote,6.28,125000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
TCS,QA Engineer,FTE,"COE,COPC,ECE,ENC",8.5,Bengaluru,16.77,60000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
BrowserStack,Backend Engineer,Intern,"COE,COPC,ECE",7.5,Pune,41.22,50000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Amazon,Business Analyst,FTE,"COE,COPC",6.0,Gurugram,48.55,40000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
NVIDIA,Cybersecurity Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",8.0,Remote,88.89,60000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Uber,DevOps Engineer,FTE,"COE,COPC,ECE",8.5,Remote,37.53,30000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Intel,Data Scientist,FTE,"COE,COPC,ECE,ENC",8.0,Noida,44.8,25000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Nutanix,Cybersecurity Analyst,Intern+Performance Based Chance of FTE,B.E. All Branches,7.0,Hyderabad,52.23,80000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
ZS Associates,QA Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",6.5,Bengaluru,11.15,40000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
BlackRock,Business Analyst,FTE,"COE,COPC,ECE,ENC",8.0,Bengaluru,18.72,60000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
BlackRock,QA Engineer,Intern,"COE,COPC,ECE,EIC,EEC",6.0,Remote,25.42,50000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Paytm,Frontend Engineer,FTE,"COE,COPC,ECE,EIC,EEC",6.0,Gurugram,27.89,125000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Accenture,Cybersecurity Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",7.5,Chennai,17.93,40000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Optum,Embedded Engineer,Intern+FTE,"COE,COPC,ECE",8.5,Hyderabad,35.66,100000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Cognizant,Cloud Engineer,Intern,B.E. All Branches,6.0,Bengaluru,34.52,70000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Samsung R&D,DevOps Engineer,Intern+FTE,"COE,COPC,ECE",7.0,Remote,16.92,125000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Meesho,QA Engineer,Intern+Performance Based Chance of FTE,"COE,COPC",8.0,Remote,17.09,150000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Adobe,Cloud Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,6.0,Remote,13.12,80000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Siemens,Data Scientist,FTE,"COE,COPC",8.5,Noida,45.06,80000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Apple,Backend Engineer,Intern,"COE,COPC",7.5,Bengaluru,47.39,30000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
PhonePe,Business Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",7.5,Remote,15.72,40000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Deloitte,Business Analyst,Intern+FTE,"COE,COPC,ECE,EIC,EEC",9.0,Chennai,10.33,125000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Meesho,Frontend Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",6.5,Bengaluru,59.61,80000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Tech Mahindra,Software Development Engineer,Intern+Performance Based Chance of FTE,B.E. All Branches,7.5,Noida,58.84,100000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Morgan Stanley,Cloud Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",9.0,Hyderabad,24.69,60000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Amazon,QA Engineer,Intern+FTE,"COE,COPC,ECE",6.0,Hyderabad,28.64,25000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Booking Holdings,Software Development Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",6.0,Mumbai,30.11,25000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
EPAM,Full Stack Developer,Intern+FTE,B.E. All Branches,7.0,Noida,35.15,25000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Dell,Cybersecurity Analyst,FTE,"COE,COPC,ECE",7.0,Pune,23.22,150000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Qualcomm,DevOps Engineer,FTE,"COE,COPC",8.0,Pune,17.94,60000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Cisco,QA Engineer,Intern,"COE,COPC,ECE,ENC",8.5,Mumbai,29.07,100000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Cognizant,AI/ML Engineer,Intern+FTE,"COE,COPC,ECE,ENC",7.5,Pune,43.6,80000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Tech Mahindra,DevOps Engineer,FTE,"COE,COPC,ECE,EIC,EEC",6.5,Remote,31.57,50000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Adobe,DevOps Engineer,Intern+FTE,"COE,COPC,COBS",6.5,Gurugram,28.28,80000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
American Express,AI/ML Engineer,FTE,"COE,COPC",8.0,Noida,40.92,100000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Adobe,Data Scientist,Intern,"COE,COPC",6.5,Noida,26.37,150000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
TCS,Full Stack Developer,FTE,"COE,COPC",6.5,Noida,52.95,70000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
HCLTech,Backend Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",8.0,Noida,46.33,100000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
ZS Associates,Full Stack Developer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",8.0,Chennai,35.81,60000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Paytm,Data Scientist,Intern+Performance Based Chance of FTE,"COE,COPC",9.0,Remote,25.42,100000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Tech Mahindra,AI/ML Engineer,FTE,"COE,COPC,COBS",6.0,Noida,55.37,70000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
HCLTech,Frontend Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",6.5,Noida,6.88,125000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Zomato,Full Stack Developer,Intern+Performance Based Chance of FTE,B.E. All Branches,8.5,Chennai,26.51,50000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
BlackRock,Cloud Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",8.5,Chennai,58.19,100000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Walmart Global Tech,Frontend Engineer,Intern+FTE,B.E. All Branches,8.5,Bengaluru,44.9,100000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Cognizant,Software Development Engineer,Intern,"COE,COPC",7.5,Pune,51.31,30000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Cisco,Full Stack Developer,Intern,"COE,COPC,ECE",8.0,Remote,9.67,40000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Accenture,Software Development Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",7.5,Bengaluru,39.36,150000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Microsoft,DevOps Engineer,FTE,B.E. All Branches,7.0,Bengaluru,25.77,125000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Capgemini,Embedded Engineer,Intern,"COE,COPC",8.0,Pune,42.4,40000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Morgan Stanley,Full Stack Developer,FTE,"COE,COPC,ECE,ENC",9.0,Mumbai,39.47,60000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Oracle,AI/ML Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",6.5,Gurugram,57.8,100000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Siemens,Backend Engineer,Intern,"COE,COPC,COBS",7.5,Mumbai,41.3,25000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Samsung R&D,Cloud Engineer,Intern+FTE,"COE,COPC",7.5,Mumbai,9.03,25000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Intel,AI/ML Engineer,Intern,"COE,COPC,ECE",6.5,Remote,36.56,30000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Razorpay,Software Development Engineer,Intern,"COE,COPC,ECE",9.0,Chennai,55.9,60000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Google,Full Stack Developer,Intern,"COE,COPC,ECE,ENC",6.5,Noida,73.9,80000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
NVIDIA,Business Analyst,Intern+FTE,"COE,COPC,ECE,EIC,EEC",8.5,Hyderabad,60.14,80000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Capgemini,Embedded Engineer,Intern,"COE,COPC,COBS",6.5,Hyderabad,58.61,25000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Zomato,Cybersecurity Analyst,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",6.0,Gurugram,47.53,150000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
EPAM,Cloud Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",6.5,Mumbai,18.32,125000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
Oracle,Cybersecurity Analyst,Intern,"COE,COPC",7.0,Pune,21.95,50000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Deloitte,Embedded Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",7.0,Hyderabad,48.33,40000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Oracle,Software Development Engineer,FTE,"COE,COPC,ECE,ENC",6.0,Pune,56.92,100000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Oracle,Frontend Engineer,Intern+Performance Based Chance of FTE,"COE,COPC",6.0,Hyderabad,29.27,125000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
IBM,DevOps Engineer,FTE,"COE,COPC,COBS",6.0,Gurugram,11.03,150000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Optum,Business Analyst,Intern+FTE,B.E. All Branches,8.0,Pune,48.08,125000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Siemens,Business Analyst,FTE,"COE,COPC,ECE,ENC",7.5,Pune,15.15,60000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Atlassian,Frontend Engineer,Intern,"COE,COPC,ECE,ENC",7.0,Noida,52.37,100000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Dell,QA Engineer,Intern+FTE,"COE,COPC,COBS",6.0,Pune,32.77,150000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Paytm,Software Development Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",7.5,Chennai,57.24,70000,"Python, Java, C++, DSA, OOP, DBMS, Operating Systems, Computer Networks, Git, SQL",Online Assessment -> Technical Interview -> HR Interview
Incedo,QA Engineer,FTE,"COE,COPC,ECE,ENC",8.0,Noida,58.61,40000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
TCS,AI/ML Engineer,FTE,"COE,COPC,ECE,ENC",8.5,Remote,15.59,80000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
NVIDIA,Full Stack Developer,FTE,"COE,COPC",8.0,Noida,43.22,80000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Apple,DevOps Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,EIC,EEC",6.5,Remote,74.9,25000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
PhonePe,Embedded Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE",8.5,Gurugram,9.73,80000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Morgan Stanley,Data Scientist,Intern+Performance Based Chance of FTE,"COE,COPC",7.5,Remote,41.57,80000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Apple,Business Analyst,Intern,"COE,COPC,ECE,ENC",8.5,Hyderabad,85.03,80000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
Salesforce,Full Stack Developer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",8.0,Bengaluru,41.51,70000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
NVIDIA,QA Engineer,Intern+Performance Based Chance of FTE,"COE,COPC",6.0,Hyderabad,50.98,70000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
BlackRock,Full Stack Developer,Intern+FTE,"COE,COPC,COBS",7.0,Mumbai,33.58,125000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Infosys,QA Engineer,Intern+FTE,"COE,COPC,ECE,ENC",6.0,Remote,37.78,125000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Salesforce,Data Scientist,Intern,"COE,COPC,ECE,EIC,EEC",6.5,Chennai,28.46,30000,"Python, Pandas, NumPy, Machine Learning, Statistics, Scikit-learn, SQL, Matplotlib",Online Assessment -> Technical Interview -> HR Interview
Paytm,AI/ML Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,ECE,ENC",7.5,Hyderabad,30.59,50000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
EPAM,Embedded Engineer,Intern,"COE,COPC,ECE,ENC",6.0,Hyderabad,43.63,70000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Google,AI/ML Engineer,Intern+FTE,B.E. All Branches,6.5,Pune,69.01,40000,"Python, Machine Learning, Deep Learning, TensorFlow, PyTorch, NLP, OpenCV",Online Assessment -> Technical Interview -> HR Interview
Zomato,DevOps Engineer,Intern+FTE,"COE,COPC,COBS",8.5,Pune,29.02,100000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
Nutanix,QA Engineer,Intern,"COE,COPC,ECE,EIC,EEC",8.0,Noida,41.49,80000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
EPAM,Cybersecurity Analyst,Intern+FTE,"COE,COPC,ECE",7.0,Hyderabad,29.2,25000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
NVIDIA,Backend Engineer,FTE,"COE,COPC,ECE",7.5,Hyderabad,59.9,70000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
BlackRock,QA Engineer,FTE,B.E. All Branches,7.5,Mumbai,52.58,125000,"Java, Selenium, TestNG, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Apple,Backend Engineer,Intern+FTE,"COE,COPC,ECE,EIC,EEC",8.5,Gurugram,79.96,150000,"Java, Spring Boot, SQL, Docker, Git, REST API, DBMS, AWS",Online Assessment -> Technical Interview -> HR Interview
Expedia,Cybersecurity Analyst,FTE,"COE,COPC",6.5,Gurugram,10.58,40000,"Networking, Linux, Python, Wireshark, Burp Suite, SIEM",Online Assessment -> Technical Interview -> HR Interview
Meesho,Frontend Engineer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",8.0,Pune,26.16,40000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
NVIDIA,Business Analyst,Intern+FTE,B.E. All Branches,6.5,Remote,56.63,125000,"Excel, SQL, Power BI, Python, Statistics, Tableau",Online Assessment -> Technical Interview -> HR Interview
PhonePe,Frontend Engineer,Intern,"COE,COPC,ECE,ENC",6.0,Remote,16.1,100000,"HTML, CSS, JavaScript, React, Git, TypeScript, Redux",Online Assessment -> Technical Interview -> HR Interview
Uber,Full Stack Developer,Intern+Performance Based Chance of FTE,"COE,COPC,COBS",8.5,Remote,87.65,125000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
Optum,Embedded Engineer,Intern+FTE,"COE,COPC",8.0,Bengaluru,51.35,100000,"C, C++, Embedded C, RTOS, Microcontrollers, ARM",Online Assessment -> Technical Interview -> HR Interview
Tech Mahindra,Full Stack Developer,Intern+FTE,B.E. All Branches,7.0,Pune,21.77,60000,"HTML, CSS, JavaScript, React, Node.js, Express, MongoDB, SQL, Git",Online Assessment -> Technical Interview -> HR Interview
BrowserStack,Cloud Engineer,Intern,B.E. All Branches,6.0,Gurugram,36.55,100000,"AWS, Docker, Kubernetes, Linux, Python, Git, Terraform",Online Assessment -> Technical Interview -> HR Interview
BrowserStack,DevOps Engineer,Intern,"COE,COPC,ECE,EIC,EEC",7.5,Noida,50.46,70000,"Docker, Kubernetes, Linux, Jenkins, Git, AWS, Terraform",Online Assessment -> Technical Interview -> HR Interview
